ROBO_ID,TEMP_DATE,TEMP_VALUE
1.0,1.03.2022,65.08695652173913
1.0,1.04.2022,68.08695652173913
1.0,1.05.2022,61.333333333333336
1.0,1.06.2022,65.82608695652173
1.0,1.07.2022,68.56521739130434
1.0,10.03.2022,59.869565217391305
1.0,10.04.2022,62.52173913043478
1.0,10.05.2022,63.26086956521739
1.0,10.06.2022,67.8695652173913
1.0,10.07.2022,65.3913043478261
1.0,11.03.2022,58.73913043478261
1.0,11.04.2022,61.26086956521739
1.0,11.05.2022,63.91304347826087
1.0,11.06.2022,66.26086956521739
1.0,11.07.2022,63.95652173913044
1.0,12.03.2022,58.56521739130435
1.0,12.04.2022,61.78260869565217
1.0,12.05.2022,64.78260869565217
1.0,12.06.2022,64.47826086956522
1.0,12.07.2022,64.78260869565217
1.0,13.03.2022,57.69565217391305
1.0,13.04.2022,60.833333333333336
1.0,13.05.2022,64.8695652173913
1.0,13.06.2022,66.30434782608695
1.0,13.07.2022,65.34782608695652
1.0,14.02.2022,65.72727272727273
1.0,14.03.2022,63.73913043478261
1.0,14.04.2022,65.27272727272727
1.0,14.05.2022,65.65
1.0,14.06.2022,67.56521739130434
1.0,14.07.2022,65.3913043478261
1.0,15.02.2022,65.95652173913044
1.0,15.03.2022,64.34782608695652
1.0,15.04.2022,63.0
1.0,15.05.2022,63.666666666666664
1.0,15.06.2022,66.3913043478261
1.0,15.07.2022,65.95652173913044
1.0,16.02.2022,66.08695652173913
1.0,16.03.2022,63.69565217391305
1.0,16.04.2022,62.95652173913044
1.0,16.05.2022,65.52173913043478
1.0,16.06.2022,65.73913043478261
1.0,16.07.2022,66.52173913043478
1.0,17.02.2022,67.34782608695652
1.0,17.03.2022,65.04347826086956
1.0,17.04.2022,60.52173913043478
1.0,17.05.2022,65.8695652173913
1.0,17.06.2022,65.65217391304348
1.0,17.07.2022,65.21739130434783
1.0,18.02.2022,66.56521739130434
1.0,18.03.2022,62.17391304347826
1.0,18.04.2022,60.47826086956522
1.0,18.05.2022,62.78260869565217
1.0,18.06.2022,66.3913043478261
1.0,18.07.2022,66.6086956521739
1.0,19.02.2022,66.52173913043478
