ROBO_ID;OCCURRENCE;CODE;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0122;;;;;;;;;;;;;;
336;17.01.2022;E0122;;;;;;;;;;;;;;
336;17.01.2022;E1107;;;;;;;;;;;;;;
336;17.01.2022;E0122;;;;;;;;;;;;;;
336;17.01.2022;E0052;;;;;;;;;;;;;;
336;17.01.2022;E0052;;;;;;;;;;;;;;
336;17.01.2022;E3792;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0122;;;;;;;;;;;;;;
336;17.01.2022;E1107;;;;;;;;;;;;;;
336;17.01.2022;E0062;;;;;;;;;;;;;;
336;17.01.2022;E0122;;;;;;;;;;;;;;
336;17.01.2022;E1107;;;;;;;;;;;;;;
336;17.01.2022;E0122;;;;;;;;;;;;;;
336;17.01.2022;E0122;;;;;;;;;;;;;;
336;17.01.2022;E1107;;;;;;;;;;;;;;
336;17.01.2022;E1107;;;;;;;;;;;;;;
336;17.01.2022;E0122;;;;;;;;;;;;;;
336;17.01.2022;E0122;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0122;;;;;;;;;;;;;;
336;17.01.2022;E0122;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;17.01.2022;E0121;;;;;;;;;;;;;;
336;14.01.2022;E0121;;;;;;;;;;;;;;
336;14.01.2022;E0121;;;;;;;;;;;;;;
336;14.01.2022;E0121;;;;;;;;;;;;;;
336;14.01.2022;E0121;;;;;;;;;;;;;;
336;14.01.2022;E0121;;;;;;;;;;;;;;
336;12.01.2022;E0121;;;;;;;;;;;;;;
336;6.01.2022;E0121;;;;;;;;;;;;;;
336;6.01.2022;E0121;;;;;;;;;;;;;;
126;21.01.2022;E1549;;;;;;;;;;;;;;
126;21.01.2022;E1287;;;;;;;;;;;;;;
126;21.01.2022;E1288;;;;;;;;;;;;;;
126;21.01.2022;E1339;;;;;;;;;;;;;;
172;11.01.2022;E1043;;;;;;;;;;;;;;
172;20.01.2022;E1043;;;;;;;;;;;;;;
175;18.01.2022;E1028;;;;;;;;;;;;;;
